Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
9700,-4.08081804403,-3.50343737284,1.18778541056,2.27367293294,2.42722644043,0.0740950351674
9600,-4.27818595378,-3.71088075002,1.03521199036,2.04330967204,2.1752824707,-0.120373705175
9500,-4.27417665609,-3.69632787069,1.05409858195,2.11344959513,2.2627421875,-0.0875352295274
9400,-3.66563819377,-3.08034510295,1.67445273844,2.76604483541,2.92524269613,0.541608231783
9300,-3.84218874105,-3.27407798767,1.4061502533,2.46445803579,2.61135180664,0.285899415215
9200,-3.10836305745,-2.53113821665,2.12675981649,3.26001396434,3.4353013916,1.03374075122
9100,-3.25221106974,-2.68578624725,2.00635647583,3.0732916158,3.23106285604,0.880936064426
9000,-3.88806134033,-3.34264231364,1.24101663717,2.27046276347,2.41402489217,0.137820766339
8900,-3.72828661092,-3.18053848267,1.53876077779,2.48165622965,2.59633832804,0.369234643123
8800,-3.96258104451,-3.41765177409,1.29432545471,2.22965787506,2.34274005127,0.124330884985
8700,-4.04503852336,-3.49134857178,1.22336259969,2.20396602885,2.33261884562,0.0657963768521
8600,-3.96423321533,-3.40449354808,1.36762730408,2.33219452159,2.45558281453,0.18848581744
8500,-4.31355262248,-3.75507792155,1.04279357402,1.98624243673,2.10356473796,-0.150917540127
8400,-4.00000632731,-3.44161780039,1.31671574402,2.29026026662,2.41776599121,0.14362841983
8300,-3.68187680054,-3.13098077138,1.46193928528,2.50638586934,2.65353996785,0.36133237846
8200,-4.12042599487,-3.56597841899,1.17476223755,2.1368114624,2.25916852824,0.00415688336185
8100,-4.06361594645,-3.49873556773,1.30374846903,2.28142013804,2.41007779948,0.118606024626
8000,-4.09732154338,-3.54181149801,1.18376779683,2.17014958954,2.3021936849,0.0239496059573
7900,-2.73043540446,-2.13507223765,2.61671958923,3.84813788096,4.0290119222,1.52840553542
7800,-2.73198462931,-2.15311436971,2.60375361125,3.71996799469,3.88318036906,1.47494088972
7700,-2.14648470052,-1.55383277893,3.25099456787,4.42627263387,4.59152774048,2.12937581327
7600,-2.10412213135,-1.50941291809,3.27167612712,4.4870343399,4.65998995972,2.17002471368
7500,-2.32010388184,-1.72095789591,2.9585105896,4.27370941162,4.4749590861,1.91833295278
7400,-2.55283383179,-1.96163008372,2.7961286672,3.99599510193,4.170465271,1.69573606928
7300,-2.3753407491,-1.78683306376,3.00534792582,4.15807010651,4.32481244914,1.87870918864
7200,-2.34941143799,-1.75558873494,3.11552411397,4.25273975372,4.39863548787,1.96451534076
7100,-2.12356747437,-1.51690059662,3.15913248698,4.5204671224,4.72346494548,2.13760476784
7000,-1.68690726725,-1.09365875244,3.62871007284,4.88061049143,5.05384361776,2.55904118394
6900,-2.05162848918,-1.44894140879,3.29691754659,4.59698365529,4.78354805501,2.23435247564
6800,-2.23280992635,-1.62968783061,3.05884157817,4.39787626902,4.60225080363,2.02388894918
6700,-1.38065182495,-0.740237731934,4.07879081726,5.58022589366,5.77050804647,3.06990397613
6600,-1.39838818359,-0.748691775004,3.95231066386,5.60050197601,5.83346560669,3.02352299372
6500,-1.24653668213,-0.593645782471,4.11611289978,5.77734027863,6.00619708252,3.19099314015
6400,-1.12908668009,-0.486364809672,4.27651209513,5.83927731832,6.04938230387,3.30231822288
6300,-1.61276191203,-0.993881963094,3.68609255473,5.15005180359,5.36292875163,2.69862884413
6200,-2.07139289347,-1.45734264374,3.27692227681,4.65241648356,4.85142097982,2.24367399154
6100,-1.57734326172,-0.950990715027,3.78055308024,5.23543908437,5.44420769246,2.77600458625
6000,-0.300240498861,0.353470802307,5.1822694397,6.77772201538,6.96603610229,4.2065477789
5900,0.284183939616,0.974003499349,5.94130856832,7.68890405019,7.86389570109,4.98480630872
5800,-0.279516825358,0.401451911926,5.24094024658,7.03583478292,7.23527672323,4.3340549754
5700,-0.62230460612,0.0433198801676,4.85037038167,6.5475177002,6.755228302,3.91431423554
5600,-1.09347149658,-0.442746836344,4.22146153768,5.91140539805,6.15034411621,3.31790254752
5500,-0.946047536214,-0.301694730123,4.41363543193,6.00883851369,6.22959994507,3.46407948382
5400,-1.30852215576,-0.681253471375,4.08748814901,5.52904918671,5.72348345947,3.07027472956
5300,-1.41953132121,-0.796236890157,3.87676137288,5.37294762929,5.58741915894,2.90350909349
5200,-1.39799745687,-0.777563883464,3.93690493266,5.38650676727,5.58373156738,2.93799494507
5100,-1.16136242676,-0.525685399373,4.23219835917,5.74275527954,5.94789116414,3.24140666459
5000,-0.862564768473,-0.21901357015,4.43268590291,6.06997021993,6.310290507,3.51300484161
4900,-1.0399913737,-0.406783192952,4.36430117289,5.84861030579,6.0485473938,3.3609057881
4800,-0.65592678833,0.00991845448812,4.84766001383,6.51338602702,6.71978477987,3.89094822601
4700,-0.170333272298,0.497153689067,5.15177012126,6.96428947449,7.21217420451,4.29549058095
4600,-0.00959723917643,0.667176971436,5.5227738444,7.26496983846,7.46331551107,4.59160581833
4500,-0.658808105469,-0.00528141021729,4.77533861796,6.40989016215,6.61195585124,3.82511892683
4400,-0.368137074788,0.285103263855,5.01413497925,6.68464810689,6.89767850749,4.09037141915
4300,-1.10341015625,-0.47525999705,4.19628929138,5.72308242798,5.94402921549,3.23345148746
4200,-0.967848327637,-0.320387331645,4.4711790212,6.03432842255,6.24052376302,3.48998909773
4100,-0.947663340251,-0.314910189311,4.39855552673,5.92365151723,6.13032051595,3.42655313702
4000,-0.366476359049,0.303174680074,5.03516220093,6.79636372884,7.02562523397,4.14134425787
3900,0.128763305664,0.808943494161,5.64584284465,7.41004749298,7.616409434,4.72723961709
3800,-1.05526201375,-0.412888285319,4.26494639079,5.88050600688,6.10536751302,3.33325887273
3700,-0.517749094645,0.132264811198,4.88819302877,6.489755071,6.70661786906,3.92981354441
3600,-0.462299519857,0.196280911764,4.93540448507,6.61366944631,6.8389565328,4.00883149492
3500,-0.457182434082,0.185174509684,4.88328554789,6.49406089783,6.7162561849,3.94376959139
3400,-0.876743133545,-0.236602160136,4.44638379415,6.05284681956,6.27822283936,3.50894243815
3300,-0.759409759521,-0.0991399129232,4.53247716268,6.30990890503,6.56397296143,3.66809590827
3200,-0.477148203532,0.14938486735,4.81161913554,6.33334473928,6.54996758016,3.851086174
3100,-0.0374850667318,0.621324590047,5.3456371816,7.05254486084,7.27853462728,4.43362071712
3000,0.361919026693,1.04730771383,5.9106284078,7.70865829468,7.90739922078,4.99826030253
2900,0.345009999593,1.00096302032,5.74599227905,7.4090597407,7.62022865804,4.81570140437
2800,-0.0727695922852,0.586950073242,5.42548505147,7.05454533895,7.2479437561,4.45811851489
2700,-0.379956481934,0.276288642883,4.95101028442,6.66625563304,6.90486580404,4.05425143143
2600,-1.13415493774,-0.507424850464,4.08497833252,5.65641030629,5.89550179036,3.1584736094
2500,-0.950065531413,-0.312917391459,4.41723220825,5.95961912791,6.16663231405,3.44662035185
2400,-1.27761593628,-0.642960408529,3.97877812703,5.57332421621,5.81567675781,3.0515464403
2300,-1.25137987264,-0.610893859863,4.05390752157,5.66752141317,5.89666115316,3.1241358206
2200,-0.954524658203,-0.316626853943,4.37110143026,5.94643745422,6.16453473918,3.42308115416
2100,-2.13940177409,-1.52374148051,3.22520812988,4.60545609792,4.80028180949,2.19027969384
2000,-1.22705736287,-0.595356140137,4.18166239421,5.63865488688,5.83895882161,3.16646508872
1900,-1.20066830444,-0.553414675395,4.21320307414,5.79141474406,6.00606580607,3.24304438275
1800,-0.218431976318,0.446034609477,5.16891751607,6.90082187653,7.12648150635,4.26779531765
1700,-0.0768768513997,0.588625208537,5.28869082133,7.04503988902,7.28371274821,4.40002695038
1600,0.218272226969,0.905670598348,5.68923840841,7.54698343913,7.76418882243,4.81953307797
1500,-0.196625793457,0.459549967448,5.23726898193,6.87096979777,7.07076322428,4.28938721159
1400,-1.51544445801,-0.877254587809,3.94721199036,5.41432942708,5.61460055542,2.92117426842
1300,-0.758491943359,-0.109805908203,4.61219721476,6.23279612223,6.45361229451,3.67027722326
1200,-0.503089975993,0.15558245341,4.75656860352,6.54102137248,6.79532255046,3.90453876898
1100,-1.23132275391,-0.604267082214,3.9984765625,5.57010955811,5.80914447021,3.06857790289
1000,-0.843571034749,-0.200793100993,4.41723848979,6.08054723104,6.32506406657,3.5163751313
900,-0.981546244303,-0.343186264038,4.45589360555,5.9556627655,6.14457013957,3.4530861801
800,-1.17287660726,-0.540421803792,4.08970909119,5.67170000712,5.90426552327,3.15760216563
700,-1.65599753825,-1.0457226181,3.63188781738,5.02732340495,5.23557772827,2.62082707275
600,-0.963264841715,-0.330306193034,4.23747103373,5.8623399353,6.10934812419,3.33707688087
500,-0.438810089111,0.215415763855,4.93186086019,6.60406500498,6.82884702555,4.00978582713
400,-0.234477101644,0.432930730184,5.23200650533,6.95703016917,7.16442736816,4.30872721453
